date,CDU,CSU,AFD,SPD,GP,LP,FDP
2017-03-29,316.0,663.0,1713.0,1421.0,343.0,147.0,100.0
2017-03-30,157.0,774.0,2032.0,359.0,346.0,1021.0,138.0
2017-03-31,179.0,299.0,4586.0,186.0,903.0,0.0,146.0
2017-04-01,15.0,20.0,99.0,146.0,0.0,381.0,1.0
2017-04-02,0.0,40.0,1543.0,270.0,482.0,0.0,194.0
2017-04-03,96.0,31.0,1709.0,502.0,649.0,253.0,295.0
2017-04-04,660.0,42.0,4420.0,218.0,2.0,201.0,356.0
2017-04-05,322.0,113.0,2416.0,1682.0,220.0,0.0,124.0
2017-04-06,162.0,493.0,1.0,152.0,266.0,0.0,329.0
2017-04-07,221.0,769.0,3675.0,1033.0,0.0,669.0,450.0
2017-04-08,69.0,219.0,2372.0,164.0,0.0,229.0,33.0
2017-04-09,10.0,152.0,452.0,0.0,0.0,0.0,133.0
2017-04-10,207.0,652.0,3283.0,467.0,198.0,157.0,38.0
2017-04-11,155.0,158.0,3344.0,1145.0,172.0,170.0,140.0
2017-04-12,95.0,5.0,1403.0,9339.0,0.0,0.0,423.0
2017-04-13,283.0,20.0,692.0,93.0,862.0,460.0,148.0
2017-04-14,347.0,287.0,3023.0,0.0,23.0,0.0,175.0
2017-04-15,46.0,26.0,337.0,359.0,328.0,21.0,247.0
2017-04-16,140.0,528.0,2335.0,309.0,148.0,552.0,57.0
2017-04-17,0.0,470.0,5065.0,2128.0,0.0,0.0,486.0
2017-04-18,79.0,951.0,4409.0,0.0,94.0,0.0,907.0
2017-04-19,192.0,1694.0,1530.0,0.0,0.0,0.0,158.0
2017-04-20,58.0,1134.0,3283.0,628.0,4.0,235.0,168.0
2017-04-21,92.0,688.0,4692.0,222.0,0.0,0.0,338.0
2017-04-22,36.0,255.0,2566.0,571.0,885.0,0.0,190.0
2017-04-23,0.0,844.0,2098.0,850.0,782.0,823.0,0.0
2017-04-24,30.0,452.0,1228.0,476.0,352.0,812.0,364.0
2017-04-25,105.0,0.0,1530.0,183.0,0.0,16.0,123.0
2017-04-26,0.0,40.0,1229.0,206.0,0.0,186.0,1687.0
2017-04-27,345.0,1868.0,733.0,139.0,0.0,59.0,195.0
