date,CDU,CSU,AFD,SPD,GP,LP,FDP
2017-06-01,3,3,4,2,3,2,3
2017-06-02,4,2,5,2,2,1,2
2017-06-03,1,1,2,1,3,1,2
2017-06-04,2,2,2,1,1,0,1
2017-06-05,0,1,1,2,1,1,1
2017-06-06,1,1,5,1,1,1,2
2017-06-07,2,4,4,2,1,1,3
2017-06-08,1,0,2,2,1,1,1
2017-06-09,1,2,1,4,1,3,3
2017-06-10,1,1,1,4,1,6,1
2017-06-11,0,2,2,1,2,3,1
2017-06-12,2,3,0,3,1,2,2
2017-06-13,1,1,2,1,1,1,2
2017-06-14,2,2,1,0,2,1,3
2017-06-15,2,1,2,2,3,1,3
2017-06-16,3,2,5,2,5,1,4
2017-06-17,1,2,3,0,9,2,3
2017-06-18,0,2,1,3,3,1,1
2017-06-19,2,4,3,4,1,1,3
2017-06-20,0,3,3,1,1,1,2
2017-06-21,2,2,3,4,3,1,3
2017-06-22,3,2,2,3,2,2,5
2017-06-23,1,1,1,2,1,1,3
2017-06-24,1,2,3,1,2,1,1
2017-06-25,3,2,2,3,2,2,1
2017-06-26,3,3,4,3,3,2,3
2017-06-27,2,1,4,4,3,2,2
2017-06-28,3,4,4,1,0,1,2
2017-06-29,2,2,6,3,3,1,3
2017-06-30,2,3,4,2,2,2,2
2017-07-01,3,3,1,1,1,1,1
2017-07-02,1,4,1,1,2,1,1
2017-07-03,3,3,4,1,1,1,3
2017-07-04,3,3,3,3,0,2,3
2017-07-05,3,2,3,1,2,1,3
2017-07-06,3,4,3,2,2,2,2
2017-07-07,0,3,3,3,2,1,3
2017-07-08,1,3,2,1,2,1,1
2017-07-09,0,3,4,0,2,1,3
2017-07-10,1,5,4,1,1,1,5
2017-07-11,1,2,4,1,0,1,3
2017-07-12,1,2,4,2,1,1,5
2017-07-13,3,0,3,2,1,3,3
2017-07-14,1,2,2,1,1,1,2
2017-07-15,1,2,2,1,1,1,2
2017-07-16,2,2,4,2,1,0,2
2017-07-17,1,4,4,2,1,2,3
2017-07-18,1,3,5,3,1,2,2
2017-07-19,2,4,2,3,2,1,3
2017-07-20,2,3,4,2,0,1,2
2017-07-21,1,1,3,3,3,2,3
2017-07-22,0,4,3,2,2,1,1
2017-07-23,1,5,1,1,0,0,1
2017-07-24,2,3,4,1,1,1,3
2017-07-25,1,2,4,0,0,2,2
2017-07-26,1,4,5,1,1,1,2
2017-07-27,3,3,4,1,2,1,2
2017-07-28,1,2,4,0,2,1,2
2017-07-29,1,3,2,1,2,0,1
2017-07-30,1,3,2,1,0,1,1
2017-07-31,0,2,3,1,1,1,4
2017-08-01,2,4,3,2,2,1,2
2017-08-02,1,2,4,2,2,1,3
2017-08-03,2,1,3,2,1,2,3
2017-08-04,2,1,3,3,1,1,3
2017-08-05,0,3,1,0,1,1,2
2017-08-06,2,1,3,1,1,2,2
2017-08-07,2,3,4,1,1,1,4
2017-08-08,1,3,3,3,3,1,5
2017-08-09,1,1,3,1,1,1,5
2017-08-10,2,1,4,1,2,1,5
2017-08-11,3,1,1,2,1,1,4
2017-08-12,3,2,1,2,1,1,2
2017-08-13,2,2,3,4,1,1,4
2017-08-14,2,2,3,1,1,1,4
2017-08-15,2,1,3,2,1,1,5
2017-08-16,3,2,5,2,1,1,4
2017-08-17,2,7,3,3,3,1,4
2017-08-18,3,0,3,1,2,1,4
2017-08-19,1,1,5,2,0,1,2
2017-08-20,1,3,4,3,1,1,4
2017-08-21,3,4,4,1,3,1,4
2017-08-22,3,3,6,6,1,2,3
2017-08-23,3,3,7,4,2,1,6
2017-08-24,2,5,4,2,1,1,5
